Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
,Farm A,33.67,56.93,3.93,7.78,13.12,7.6,32.93,47.41,Corn,1009.64,128.91,4.18,1757.04
02:25.0,Farm B,20.16,89.51,4.19,6.4,27.72,,15.15,25.86,Wheat,1473.69,56.72,7.36,617.51
,Farm B,18.24,51.33,13.95,5.29,27.85,33.12,22.72,41.55,Rice,,19.23,,
02:25.0,Farm B,19.06,43.3,40.64,7.91,26.12,38.81,25.88,11.89,,3845.01,160.13,0.65,876.12
02:25.0,Farm C,34.98,41.71,31.53,6.96,19.84,32.86,30.51,12.6,Soybeans,1094.89,118.17,0.75,533.78
02:25.0,Farm A,22.79,66.08,44.38,7.6,14.66,,28.86,40.74,Corn,4155.53,186.34,4.84,
02:25.0,Farm B,31.76,68.53,26.11,7,33.16,17.45,7.29,34.66,,4582.73,17.82,7.04,
,Farm A,24.68,30.34,23.37,5.39,25.69,41.86,18.65,38.92,Soybeans,3497.3,48.16,,1922.65
02:25.0,Farm A,22.78,60.86,10.66,5.42,30.32,,11.52,42.46,,2822.76,196.63,7.67,1248.39
02:25.0,Farm B,17.33,30.89,6.99,7.59,39.86,27.4,7.88,6.33,Rice,,6.45,9.52,974.71
02:25.0,Farm A,16.66,52.33,35.21,6.41,,40.75,39.67,37.18,Rice,,134.11,2.43,165.17
02:25.0,Farm D,25.25,82.74,12.95,7.63,13.79,45.51,8.83,36.12,Rice,2157.7,36.13,9.84,615.37
02:25.0,Farm D,23.1,81.3,47.59,7.9,23.57,49.87,33.04,29.65,,1156.8,113.13,,1183.29
02:25.0,Farm A,20.19,37.33,41.32,6.09,,25.04,9.91,46.39,Corn,3597.96,127.43,,1787.85
02:25.0,Farm D,20.58,56.35,38.7,6.74,28.47,21.18,33.32,9.26,Soybeans,3333.56,103.03,3.91,1628.34
02:25.0,Farm A,24.23,32.1,29.31,5.45,16.51,6.99,2.43,46.07,Corn,3178.72,,9.13,876.79
02:25.0,Farm A,26.34,36.43,,5.09,30.06,47.25,25.88,8.3,Rice,2306.79,119.83,3.66,713.8
02:25.0,Farm C,26.05,86.29,27.99,7.2,,9.3,0.85,14.22,Rice,,,2.88,243.01
,Farm D,17.33,79.74,39.97,5.45,10.76,24.35,27.76,44.81,Rice,3254.44,15.54,4.89,1947.44
02:25.0,Farm D,24.97,74.58,40.08,7.32,11.15,49.36,39.66,5.53,,4448.29,153.98,,703.24
02:25.0,Farm A,30.18,78.27,2.07,6.01,,,29.34,31.3,Corn,2162.89,182.78,5.09,650.97
02:25.0,Farm C,17.48,83.17,20.24,6.83,17.64,9.29,10.37,18.91,Soybeans,,166.04,7.53,1801.31
,Farm C,21.97,,9.07,5.27,39.03,41.24,21.56,0.15,Wheat,1574.15,,4.58,1633.39
02:25.0,Farm A,21.82,57.48,46.76,7.01,,21.83,8.8,27.08,,4731.16,179.71,1.2,1208.42
02:25.0,Farm C,16.85,67.01,19.23,5.58,10.15,,34.95,29.41,,,126.22,4.91,308.18
02:25.0,Farm A,,49.23,8.91,5.05,,24.83,28.62,47.92,Corn,3559.63,190.76,8.48,558.35
02:25.0,Farm A,24.94,57.75,40.61,7.71,27.69,6.98,25.15,21.05,Corn,3546.84,57.21,9.6,1155.52
02:25.0,Farm D,27.65,81.51,,,34.94,11.2,15.49,0.59,Rice,1661.43,0.62,6.28,1435
02:25.0,Farm A,16.2,88.45,13.48,5.79,19.03,11.28,,29.61,Soybeans,2482.25,5.19,2.18,442.71
02:25.0,Farm D,16.39,,8.17,,15.41,0.37,2.11,7.82,Soybeans,1248.57,49.07,,403.53
02:25.0,Farm A,18.4,77.55,32.6,7.62,16.75,,20.55,16.62,Soybeans,3916.32,,3.66,1667.12
02:25.0,Farm B,25.6,31.87,36.58,5.57,39.47,31.04,10.11,26.74,Wheat,2236.95,41.67,1.51,1417.73
02:25.0,Farm C,33.69,84.81,,,32.01,30.99,14.39,,Corn,1787.85,186.2,4.22,
02:25.0,Farm D,16.75,59.3,16.95,6.55,20.72,13.01,7.81,27.82,Corn,3986.71,56.56,9,1026.54
02:25.0,Farm A,18.72,53.69,49.83,5.71,37.74,23.08,36.18,37.55,Wheat,2350.63,11.07,,205.27
02:25.0,Farm A,29.38,71.55,21.94,7.37,37.66,33.68,25.77,4.18,Rice,3870.78,73.06,6.59,211.25
02:25.0,Farm B,22.68,,39.62,7.95,19.26,22.77,35.12,26.19,Wheat,,132.86,2.55,1514.57
02:25.0,Farm B,,53.04,28.67,7.45,12.68,33.52,33.48,27.87,Rice,2278.56,60.09,8.2,
02:25.0,,23.96,49.79,7.14,5.07,29.03,32.22,0.37,16.39,Wheat,2334.96,157.58,0.02,1508.89
02:25.0,Farm B,,47.04,1.85,6.57,35.02,15.44,,1.09,Rice,1191.6,68.49,,336.32
02:25.0,Farm B,19.78,80.78,3.42,7.7,23.67,45.82,15.22,28.81,Rice,3619.38,114.08,4.12,528.04
02:25.0,,33.17,60.13,19.97,7.8,23.1,34.36,15.82,22.05,Soybeans,3629.58,,1.1,1950.18
02:25.0,Farm C,16.48,84.07,,6.53,32.47,36.95,15.08,24.41,Rice,,21.54,,108.02
02:25.0,Farm A,30.44,52.16,29.57,7.48,23.29,28.11,14.47,41.75,Corn,4181.93,155.1,2.51,716.34
02:25.0,Farm C,22.29,76.17,38.88,,34.43,45.17,,20.53,Wheat,3367.99,132.98,6.52,1306.31
02:25.0,,27.25,55.35,48.12,5.22,14.34,,33.57,17.94,Rice,2997.74,74.58,4.76,284.79
02:25.0,Farm D,,58.89,31.76,7.41,12.88,31.1,8.97,8.33,Wheat,4387.3,90.85,9.18,1099.73
02:25.0,Farm A,32.26,,38.75,5.46,30.76,12.05,37.77,17.47,Corn,1146.81,127.24,0.16,1784.38
,,,56.38,49.5,5.83,39.32,,9.07,20.45,Soybeans,2544.53,147.43,,1362.28
02:25.0,Farm B,23.83,54.93,13.62,6.6,,24.68,,29.75,Corn,,77.44,0.97,658.12
,Farm D,24.65,58.04,45.26,5.42,10.39,34.54,21.8,,Corn,3013.06,85.1,3.99,218.25
02:25.0,Farm C,22.28,51.23,20.92,5.38,18.81,43.18,32.95,29.79,Corn,3422.86,81.04,1.09,1667.04
02:25.0,Farm C,17.19,48.52,12.32,7.39,23.33,46.89,34.31,45.98,,2336.84,3.56,7.67,1361.11
02:25.0,Farm B,21.29,39.32,,5.68,18.89,34.61,16.47,43.74,,2309.78,6.64,1.19,613.45
,Farm C,32.99,,37.22,7.35,,1.13,22.17,31.31,Corn,4988.3,12.59,5.02,1143.6
02:25.0,Farm B,24.02,46.58,34.18,6.96,22.92,47.41,,29.44,Rice,4825.94,143.71,0.2,850.9
02:25.0,Farm C,,,13.75,,12.24,26.36,13.73,9.89,Corn,4101.82,161.06,1.88,888.73
02:25.0,Farm B,26.48,87.82,27.91,6.32,33.56,46.38,18.18,41,Soybeans,3610.49,194.73,4.41,763.77
02:25.0,Farm A,15.56,58.38,18.63,7.57,35.48,7.29,7.09,24.79,Wheat,2882.36,161.81,6.83,1476.17
02:25.0,Farm C,17.11,88.16,,,13.06,39.04,22.02,28.21,Soybeans,4536.64,170.27,1.61,1908.25
02:25.0,Farm A,,70.64,29.75,5.94,27.3,28.23,13.81,3.51,Soybeans,3031.91,178.62,4.64,1553.65
,Farm A,18.08,71.07,,6.07,33.58,46.01,,13.6,Corn,1401.8,146,9.09,1332.62
02:25.0,,27.86,56.49,28.62,,31.85,5.2,34.03,33.56,Corn,3609.71,120.37,4.34,1435.21
02:25.0,,24.98,82.16,8.05,5.75,39.68,42.86,27.23,,Rice,4640.84,24.14,1.22,143.15
02:25.0,Farm C,32.05,64.18,44.66,6.28,21.55,8.6,8.84,24.93,Corn,3024.96,164.69,,609.54
02:25.0,Farm D,29.26,,44.35,6.31,23.81,13.91,37.61,26.25,Corn,2662.62,112.78,3.3,1300.86
02:25.0,Farm C,17.07,77.82,,7.31,17.72,2.59,23.12,39.77,Soybeans,3031.33,190.54,9.82,1363.36
02:25.0,,22.46,46.09,12.48,7.19,19.39,7.84,,28.8,Soybeans,3493.67,17.11,6.75,1216.01
02:25.0,Farm A,25.92,56.17,14.38,,38.8,6.43,15.87,13.96,Soybeans,,132.53,,
02:25.0,Farm C,18.49,53.27,,6.73,34.66,,25.33,34.83,Wheat,1660.44,115.94,3.85,785.42
02:25.0,Farm B,15.39,30.69,,6.33,22.43,25.23,,34.25,Corn,1815,152.12,1.36,1115.07
02:25.0,Farm A,20.76,77.85,27.91,5.32,11.5,,2.23,45.86,,1246.36,179.69,0.59,1871.76
02:25.0,Farm D,32.24,81.52,23.44,6.59,33.6,7.51,,,Corn,1933.57,193.81,0.73,1214.59
02:25.0,Farm C,,70.55,3.13,6.04,,4.04,31.74,41.31,Rice,4644.71,92.99,2.36,593.1
02:25.0,Farm A,25.76,74.96,20.37,6.69,38.36,33.84,19.49,11.24,Wheat,3895.93,101.83,1.39,1950.21
02:25.0,Farm C,25.27,83.61,,6.83,17.47,14.37,,42.45,Corn,4935.28,,8.5,
02:25.0,Farm D,,74.35,15.16,5.6,26.67,38.63,1.28,41.82,Wheat,,42.55,4.5,
02:25.0,Farm D,,34.73,39.99,5.13,30.8,46.66,16.93,1.57,Wheat,2946.36,80.41,0.39,757.58
02:25.0,Farm D,31.53,42.53,37.95,5.18,15.52,3.85,13.19,9.66,Corn,2182.87,131.7,2.29,976.02
02:25.0,Farm A,26,47,28.37,6.29,,7.1,,15.07,Soybeans,4926.35,103.56,3.17,1118.3
02:25.0,Farm C,15.15,73.52,29.31,6.06,35.18,0.38,20.29,,Rice,1864.01,170.74,6.31,
02:25.0,Farm A,16.34,83.31,49.47,7.23,23.44,15.37,6.95,4.58,Corn,3020.9,77.7,7.3,1073.46
02:25.0,Farm B,,,44.77,7.2,29.3,18.83,11.11,18.15,Corn,1906.05,72.89,1.36,1546.64
02:25.0,Farm C,29.49,62.33,40.75,6.76,33.58,45.13,18.49,0.61,Corn,4331.58,170.99,8.62,1594.86
02:25.0,Farm C,28.16,63.74,43.96,5.66,39.92,33.26,12.99,44.92,Wheat,1790.13,153.03,1.48,1123.44
02:25.0,Farm D,31.21,57.63,37.88,6.99,10.28,2.42,27.99,31.1,Soybeans,1405.42,24.96,9.27,693.26
02:25.0,Farm C,33.72,83.09,35.75,5.65,19.62,33.04,11.72,44.69,Corn,2821.58,21.09,1.3,
02:25.0,Farm C,18.08,73.48,41.1,7.32,12.68,45.89,15.51,,Wheat,1976.36,,5.14,1048.51
02:25.0,Farm C,32.14,52.48,49.67,7.67,19.59,23.62,19.73,7.48,Corn,3533.69,106.15,2.31,1069.99
02:25.0,Farm D,15.21,63.2,34.93,7.04,18.92,8.11,29.54,37.2,Soybeans,4249.7,75.47,3.47,1134.07
02:25.0,Farm D,20.16,,,7.53,18.48,35.8,27.42,45.67,Rice,4503.35,176.72,5.66,1139.43
02:25.0,Farm A,29.59,40.23,40.31,5.22,22.37,39.77,25.99,0.67,Wheat,3690.56,67.16,8.3,323.24
,Farm C,24.48,32.13,35.85,5.06,32.86,44.43,10.25,19.54,Rice,1339.16,,1.96,251.94
02:25.0,Farm A,21.63,87.1,12.38,7.63,28.73,26.12,5.8,,Soybeans,4172.7,,1.46,836.9
02:25.0,Farm A,28.63,61.1,,,31.64,15.8,12.14,,Soybeans,1726.68,19.92,3.98,
02:25.0,Farm D,27.03,,28.92,6.55,31.72,3.19,,41.27,Wheat,1003.25,30.69,1.92,
02:25.0,Farm A,25.01,88.89,36.9,6.09,13.69,6.47,16.17,,Rice,2754.86,,1.93,1486.75
02:25.0,Farm B,21.28,67.77,0.65,5.76,19.03,46.18,7.27,20.97,Rice,4119.34,142.16,5.48,1440.76
02:25.0,Farm D,,43.04,39.67,7.09,17.08,1.04,10.78,10.35,Rice,2069.77,115.86,0.65,1269.02
02:25.0,Farm A,23.15,40.2,36.67,7.57,27.66,45.59,20.59,23.58,Soybeans,2923.59,109.58,9.5,301.75
02:25.0,Farm B,31.11,52.37,31.28,7.51,34.89,7.6,24.38,41.71,Rice,2885.41,196.43,4.92,1359.97
02:25.0,Farm B,22.09,52.01,30.86,6.75,34.4,35.8,32.13,34.85,Wheat,1949.18,,,1913.52
02:25.0,Farm B,22.39,43.18,28.53,,20.94,3.46,,11.05,Rice,3312.39,119.24,3.78,206.16
02:25.0,Farm B,16.76,33.54,5.77,7.37,22.78,44.84,7.77,9.19,Corn,2716.49,,5.05,1465.48
,Farm B,21.16,49.78,1.54,,37.05,24.46,28.9,43.69,Corn,3061.42,167.52,9.62,496.81
02:25.0,Farm A,33.32,51.1,3.67,5.67,37.74,2.19,36.97,8.53,Soybeans,4549.12,186.81,4.55,540.37
,,22.69,81.86,20.53,7.38,12.26,21.12,0.25,46.19,Soybeans,1584.24,23.22,5.72,545.39
02:25.0,Farm A,19.05,75.57,27.79,7.08,11.36,38.25,6.94,26.22,,3684.45,71.42,8.52,1561.03
02:25.0,Farm C,20.04,44.56,3.25,7.79,14.83,42.77,30.72,40.97,Rice,4196.79,,0.91,281.74
02:25.0,Farm B,27.69,44.86,29.98,6.85,36.14,30.7,29.66,20.5,Rice,3657.57,187.26,4.45,339.18
02:25.0,Farm A,15.58,40.61,41.79,5.99,27.64,,27.3,31.34,,,141.07,1.11,1307.39
02:25.0,Farm C,33.49,,4.19,,29.1,0.79,12.86,36.36,Rice,2261.45,95.55,7.7,1530.58
,,,49.86,23.8,6.86,32.95,25.74,12.53,45.32,Corn,,122.17,,239.45
02:25.0,Farm D,31.58,,32.66,7.66,16.57,35.95,11.02,40.13,Rice,3142.62,157.64,1.8,1894.17
02:25.0,Farm B,19.57,78.47,37.67,5.76,26.42,12.43,28.36,,Soybeans,2340.9,65.27,6.69,1810.7
02:25.0,Farm C,18.85,,1.91,6.95,,24.97,12.32,47.77,Rice,2143.86,77,1.52,1309.67
02:25.0,,34.58,83.26,10.17,7.14,33.06,8.74,33.15,9.26,Corn,3038.49,,5.86,1614.93
02:25.0,Farm D,15.9,31.91,46.31,7.06,39.74,14.54,12.28,7.05,Corn,4260.87,175.06,8.97,223.78
02:25.0,Farm B,29.7,,28.81,6.14,,7.42,29.67,26.69,Rice,3140.41,82.56,5.67,380.73
02:25.0,Farm B,21.54,67.51,42.08,,33.18,45.49,,9.29,Wheat,4411.05,82.69,8.33,1488.62
02:25.0,Farm C,23.59,30.45,,7.71,20.33,,36.22,,Wheat,2608.49,85.44,0.22,414.92
02:25.0,Farm C,,81.72,,6.47,36.74,24.13,13.61,43.49,Soybeans,4661.76,92.32,5.12,
02:25.0,Farm A,31.22,41.8,3.45,6.09,37.32,2.99,11.71,3.29,Corn,4532.79,33.25,4.25,643.98
02:25.0,Farm D,32.15,68.17,11.99,5.13,32.41,8.6,6.92,31.3,Wheat,2026.25,71.27,4.54,733.46
,Farm C,17.54,59.47,24.49,6.16,,36.21,4.25,46.7,,4276.96,29.56,8.05,438.75
02:25.0,Farm D,34.78,70.55,,5.84,27.18,22.93,19.87,10.14,Corn,2066.62,,9.79,140.39
02:25.0,Farm A,,37.99,48.83,6.7,28.57,25.2,15.94,48.42,Wheat,3431.62,25.56,6.26,514.46
02:25.0,Farm B,15.97,62.9,49.63,7.4,16.35,43.95,32.47,,Soybeans,4375.48,16,4.93,540.3
02:25.0,Farm B,31.92,83.43,12.77,7.7,39.18,12.64,4.23,29.03,Corn,3512.48,,5.55,
02:25.0,Farm C,23.58,73.04,49.74,7.53,12.24,13.49,,15.33,Soybeans,2436.87,126.43,3.45,1483.39
02:25.0,Farm C,30.54,79.23,0.07,7.07,32.4,0.06,34.83,4.83,Wheat,2493.75,105.84,7.78,489.95
02:25.0,Farm B,29.05,44,28.19,7.76,14.34,43.17,9.41,1.66,Corn,1490.1,,6.75,1772.77
,Farm D,24.28,48.41,11.91,5.25,,45.81,12.6,46.38,Corn,1023.86,95,9.07,1011.34
02:25.0,,18.86,48,37.89,5.02,34.61,,4.52,3.7,Rice,3415.96,190.76,2.8,1659.3
02:25.0,Farm D,15.21,49.8,29.12,5.22,31.11,40.37,6.51,12.14,Soybeans,3795.83,191.97,,819.64
02:25.0,Farm C,27.93,88.51,5.79,7.65,24.17,8.42,1.82,5.39,Rice,3370.15,,6.6,752.7
02:25.0,Farm B,26.76,40.64,34.82,5,35.07,2.72,17.4,18.89,,2389.52,,2.77,1922.49
02:25.0,Farm B,17.59,69.37,14.78,5.4,38.54,31.67,,29.19,Wheat,1574.15,115.04,5.71,1347.76
02:25.0,Farm C,33.54,62.04,25.03,7.31,21.57,47.71,2.6,18.22,Rice,4653.09,,1.86,1358.54
02:25.0,Farm A,,81.49,,5.34,16.97,48.73,7.98,22.06,Rice,2323.25,,6.7,1223.63
02:25.0,Farm B,22.61,60.96,,5.86,25.88,,3.43,30.93,Corn,1143.05,63.07,1.23,
02:25.0,Farm B,24.21,74.01,5.57,7.21,35.35,42.19,20.19,41.62,Rice,4813.89,27.02,7.59,1689.78
02:25.0,,29.53,47.52,42.32,5.54,22.75,17.17,9.97,14,Wheat,,9.89,5.79,804.45
,Farm A,,,38.82,5.58,36.07,28.75,,44.91,Soybeans,1818.8,73.33,9.05,1717.36
02:25.0,Farm C,26.53,40.22,33.37,7.3,21.91,49.51,,30.91,Wheat,1841.78,86.95,2.11,798.98
02:25.0,Farm A,20.15,31.55,0.14,7.86,36.89,21.36,27.72,33.06,Soybeans,4727.94,15.19,3.98,
02:25.0,Farm B,25.9,46.01,43.37,5.87,33.85,4.84,31.95,32.8,Wheat,,117.47,1.68,615.02
02:25.0,Farm C,31.24,59.72,19.12,7.7,37.9,28.18,2.09,6.1,Rice,4490.77,18.12,6.59,885.03
02:25.0,,18.04,49.84,7.99,6.37,20.32,39.46,,27.12,Corn,1850.38,187.51,0.08,1553.83
02:25.0,Farm D,,35.69,31.97,6.33,,20.51,7.07,33.96,Soybeans,4328.05,41,6.16,292.29
02:25.0,Farm C,23.08,60.03,17.73,7.69,38.98,,17.87,27.17,Rice,2854.9,152.83,3.62,1982.77
02:25.0,Farm C,25.18,52.99,11.35,5.78,25.7,40.12,17.46,19.68,Soybeans,2668.14,196.13,1.55,456.14
02:25.0,Farm C,28.79,64.21,,,36.17,40.95,20.61,39.79,Wheat,3716.02,,1.34,892.21
,Farm D,21.61,71.17,32.39,,38.84,5.94,,42.74,Wheat,2265.79,84.59,4.82,136.36
02:25.0,Farm D,20.28,56.79,39.67,7.27,,2.65,36.07,9.25,Corn,4734.55,157.69,4.2,1479.59
02:25.0,Farm C,29.62,53.98,45.55,7.68,34.16,3.66,8.84,35.97,Rice,3169.42,183.79,2.91,537.67
02:25.0,Farm A,,50.23,17.56,6.17,18.26,6.99,8.48,43.66,Rice,4552.66,197.55,,950.08
02:25.0,Farm D,15.64,33.26,17.21,5.89,33.19,15.32,14.59,7.61,Soybeans,1957.05,47.85,7.33,1890.3
02:25.0,Farm B,18.94,84.23,41.03,6.46,36.45,2.31,,30.02,Rice,2529.91,37.82,0.55,744.94
02:25.0,Farm D,17.4,84.5,45.49,7.44,38.31,37.63,34.17,20.45,,2259.29,37.61,5.1,663.5
02:25.0,Farm D,26.51,35.18,3.56,6.69,31.4,27.02,,37.27,Wheat,4925.84,186.2,1.76,1731.98
02:25.0,Farm A,25.93,,33.02,6.11,28.12,39.21,34.99,13.76,Corn,,24.57,3.5,1343.8
02:25.0,Farm C,31.9,,,,17.1,38.41,3.45,19.74,Wheat,2012.41,145.34,8.61,315.21
02:25.0,Farm A,32.52,40.26,34.05,6.89,37.24,19.59,34.79,27.99,Corn,,105.3,1.52,1976.89
02:25.0,Farm B,26.75,53.79,29.18,7.44,11.28,5.42,25.42,28.29,Corn,3502.3,6.5,4.38,238.3
,Farm D,34.19,54.82,30.52,,15.1,12.87,32.79,16.42,Corn,1278.41,16.8,6.07,1295.88
02:25.0,Farm D,19.02,54.2,47.86,6.42,12.14,2.66,34.84,30.73,Rice,4633.19,31.52,6.76,716.39
02:25.0,Farm B,19.3,34.29,13.32,6.6,39.13,38.78,32.05,24.16,Corn,3997.87,109.34,8.93,1954.59
02:25.0,Farm A,24.22,36.06,39.15,6.42,39.65,38.63,21.1,18.35,Corn,1719.37,51.74,7.88,1811.03
02:25.0,,27.59,30.29,17.24,6.38,14.05,2.69,4.27,48.34,Rice,4475.16,26.44,5.42,581.55
02:25.0,Farm A,24.76,31.99,9.36,7.41,,11.27,10.08,40.94,Corn,2328.65,40.01,,1188.29
02:25.0,Farm B,15.88,42.98,32.75,6.37,19.69,,37.64,46.5,Rice,2320.13,48.96,9.25,1602.77
02:25.0,Farm B,26.75,80.29,3.43,6.27,,11.35,11.27,31.17,Soybeans,,55.55,2.08,1271.95
02:25.0,Farm D,31.95,48.27,31.15,,38.17,2.96,10.36,7.9,Soybeans,4613.36,61.48,7.69,
02:25.0,Farm D,24.98,65.31,13.32,7.79,,,4.82,6.23,Corn,2330.25,197.52,5.45,536.47
02:25.0,Farm D,24.93,46.07,47.57,,34.68,46.49,,,Rice,3498.07,157.58,4.6,830.14
02:25.0,Farm A,29.92,70.71,25.2,7.79,19.22,22.7,6.78,,Wheat,4874.66,146.57,7.95,1305.41
02:25.0,Farm B,31.29,65.55,18.89,5.55,21.13,29.86,17.48,28.12,Corn,3960.54,36.4,7.09,956.11
,Farm C,18.55,57.92,38.12,5.15,16.88,15.09,27.9,17.04,Wheat,2888.14,194.78,0.36,
02:25.0,Farm A,18.26,89.85,4.6,5.67,12.91,,27.94,23.69,,2610.71,120.18,7.25,1773.68
02:25.0,Farm B,21.02,,19.26,5.32,11.27,32.07,,42.61,Wheat,3682.35,27.69,,226.06
,Farm A,24.93,62.21,17.33,6.28,11.83,16.82,38.19,9.92,Rice,2520.24,51.35,1.57,910.4
,Farm B,30.24,73.41,45.34,5.12,15.2,46.8,28.74,6.59,Soybeans,3101.47,162.83,,121.64
02:25.0,Farm B,29.93,77.94,46.73,5.7,13.04,39.88,1.83,46.07,,,100.94,4.51,870.86
02:25.0,,21.01,49.02,46.44,5.58,11.32,23.46,27.69,12.84,Rice,3378.57,54.94,0.64,471.33
02:25.0,Farm D,20.89,53.79,29.29,7.44,17.81,28.94,6.86,14.48,,2084.82,70.8,1.73,218.02
02:25.0,Farm B,24.8,,18.74,7.77,37.21,48.41,25.68,12.33,,4714.04,145.72,7.66,911.51
02:25.0,Farm D,26.19,89.11,21.42,7.25,11.95,14.81,24.72,4.8,Rice,4566.45,7.77,,524.69
02:25.0,Farm D,,67.6,0.19,7.49,26.8,5.91,24.35,22.4,Rice,2857.48,26.67,9.65,1237.02
02:25.0,,27.53,77.14,42.04,6.14,20.51,28.75,19.23,,Rice,3250.46,73.51,2.05,1021.01
02:25.0,,15.16,42.83,4.47,7.16,15.06,46.47,29.85,30.15,Wheat,3598.7,118.75,7.84,1123.5
02:25.0,Farm D,22.33,47.08,17.89,5.3,36.24,46.68,38.25,29.62,Rice,1437.78,30.35,1.88,
02:25.0,Farm D,17.62,44.49,,7.06,32.01,17.19,,26.42,Soybeans,3642.27,88.27,6.07,506.92
02:25.0,Farm A,24.91,38.22,22.69,6.57,30.53,26.15,38.67,43.15,Wheat,2270.87,4.79,8.29,822.06
02:25.0,Farm D,18.93,71.9,3.74,7.33,31.11,29.01,10.18,16.7,Soybeans,3738.38,20.75,5.82,
02:25.0,Farm A,32.97,69.17,32.09,6.96,20.82,34.61,10.53,,Soybeans,1949.38,,0.05,150.01
02:25.0,Farm A,31.84,69.37,33.41,5.6,15.14,39.09,16.84,23.69,Wheat,1059.17,,5.52,612.61
02:25.0,Farm D,24.8,82.32,,7.23,12.59,12.6,15.63,22.8,Corn,2097.54,186.17,2.02,1394.93
02:25.0,Farm C,30.04,86.49,3.99,7.34,32.19,48.82,26.19,29.07,Soybeans,3712,27.4,9.93,1876.35
02:25.0,Farm C,,37.32,17.7,5.78,25.12,26.97,20.39,14.38,Corn,4268.64,64.04,,219.25
,Farm B,23.36,40.94,32.17,5.18,26.49,35.7,1.53,3.74,,1590.66,184.01,,324.77
02:25.0,Farm B,29.31,43.45,16.83,,28.75,30.2,0.21,18.66,Corn,4485.23,189.26,9.28,1245.13
02:25.0,Farm B,18.28,65.47,17.05,7.35,35.39,33.42,30.9,13.62,Corn,2142.55,125.05,5.26,1218.21
02:25.0,Farm D,32.92,49.04,32.19,7.64,28.69,43.31,33.39,13.33,Rice,2460.06,150.46,0.67,1766.68
02:25.0,Farm C,17.33,,25.78,,37.78,,15.57,18.73,Corn,1876.62,138.51,7.77,501.13
02:25.0,Farm D,,66.83,26.31,6.06,36.75,33.22,5.13,9.27,Wheat,3979.14,192.93,,
,Farm C,16.9,48.54,47.76,7.53,35.42,13.18,23.32,22.12,Corn,2591.31,,3.08,493.8
02:25.0,,,33.43,20.9,6.22,35.72,16.98,17.43,45.28,Rice,3642.33,112.08,5.07,1437.03
02:25.0,Farm B,17.42,85.48,3.77,7.1,,21.51,14.3,3.68,Rice,2076.8,38.19,7.42,407.2
02:25.0,Farm B,24.46,78.95,46.09,7.45,36.06,4.9,34.22,47.66,Wheat,2315.12,182.02,0.06,684.91
02:25.0,Farm B,24.3,,,7.56,33.46,,,34.17,,,23.28,8.47,527.12
02:25.0,Farm B,19.49,81.54,0.66,5.9,,45.65,37.97,,Wheat,3333.82,74.91,5.53,1973.29
02:25.0,Farm D,21.01,37.59,33.52,7.86,34.61,7.25,24.13,8.59,Wheat,,6.81,6.59,1915.37
02:25.0,Farm C,34.51,81.08,45.85,5.54,38.05,44,0.96,,Corn,2726.53,160.37,1.38,126.66
02:25.0,Farm D,22.98,71.22,6.9,6.04,37.04,28.76,22.81,12.78,Wheat,1904.43,86.47,1.55,1514.13
02:25.0,,29.14,,17.97,7.11,16.27,43.95,4.13,15.78,Corn,3759.27,188.93,,1967.83
,Farm B,27.88,45.72,10.84,7.12,11.6,38.43,11.53,37.31,Corn,,137.92,9.93,1438.68
02:25.0,Farm D,22.41,52.51,42.25,5.39,10.65,41.74,29.88,4.85,Wheat,,61.87,9.26,
02:25.0,Farm B,22.64,81.03,48.97,7.34,17.22,44.32,11.92,27.29,Rice,,146.66,3.86,1163.57
02:25.0,Farm C,22.14,32.01,30.79,7.39,28.65,44.44,,6.67,Wheat,2896.16,8.22,1.13,583.36
02:25.0,Farm B,21.11,88.45,5.35,6.81,,3.64,18.31,,Rice,4226.09,7.58,3,443.38
02:25.0,Farm D,30.54,81.15,,7.36,29.41,45.69,26.54,37.13,Wheat,2701.7,25.11,8.32,1653.49
02:25.0,Farm B,15.01,,6.36,5.9,15.45,1.38,10.71,47.92,Soybeans,3760.5,174.05,,1692.09
02:25.0,Farm D,18.12,76.93,13.39,7.03,25.59,37.22,1,37.43,Rice,4175.47,94.97,2.81,1195.13
02:25.0,Farm D,20.57,61.84,49.36,6.38,29.62,4.6,26.74,11.83,Wheat,1520.7,33.06,,1134.88
02:25.0,Farm A,15.96,,35.38,7.32,28.89,45.11,37.49,7.31,Rice,3411.13,,3.3,1916.43
02:25.0,Farm B,31.51,43.23,35.9,5.3,18.53,26.58,18.6,38.91,Corn,1583.39,7.02,9.42,1802.31
02:25.0,,18.84,67.02,2.68,7.49,27.41,14.09,14.09,42.76,Corn,1221.8,,8.01,1623.31
02:25.0,,22.67,46.14,30.93,5.77,24.71,14.88,25.67,10.98,Wheat,3760.13,116.37,8.45,1498.95
02:25.0,Farm B,21.33,,35.85,7.5,32.17,21.77,16.53,33.97,Wheat,2905.93,132.91,3.83,873
02:25.0,Farm B,17.33,30.89,6.99,7.59,39.86,27.4,7.88,6.33,Rice,,6.45,9.52,974.71
